Designator,Mid X,Mid Y,Layer,Rotation
C1,127.508000mm,-69.342000mm,Top,90
C2,148.386800mm,-114.503200mm,Top,180
C3,128.117600mm,-70.967600mm,Top,180
C4,153.212800mm,-118.681800mm,Top,270
C5,150.700000mm,-118.750000mm,Top,270
C6,148.225000mm,-111.200000mm,Top,180
C7,148.050000mm,-116.650000mm,Top,180
C8,150.300000mm,-109.750000mm,Top,90
D1,140.970000mm,-60.706000mm,Top,180
R1,128.670000mm,-72.256000mm,Top,180
R2,129.180000mm,-73.706000mm,Top,180
R3,127.070000mm,-73.706000mm,Top,180
R4,126.492000mm,-66.397600mm,Top,270
R5,128.016000mm,-65.532000mm,Top,180
R6,128.524000mm,-67.310000mm,Top,90
R7,129.540000mm,-68.326000mm,Top,90
R8,129.080000mm,-69.826000mm,Top,0
R9,152.200000mm,-121.250000mm,Top,90
R10,150.730000mm,-121.250000mm,Top,270
R11,153.700000mm,-120.750000mm,Top,180
R12,149.200000mm,-120.750000mm,Top,180
R13,137.748340mm,-58.140360mm,Top,180
R14,137.848340mm,-60.640360mm,Top,180
R15,137.848340mm,-63.340360mm,Top,180
RV1,131.600000mm,-96.300000mm,Top,180
RV2,131.600000mm,-81.300000mm,Top,180
RV3,146.600000mm,-81.300000mm,Top,180
RV4,146.600000mm,-96.300000mm,Top,180
SW1,133.367000mm,-138.453740mm,Top,180
U1,134.670800mm,-69.189600mm,Top,90
U3,151.250000mm,-113.850000mm,Top,180
